name,type,start_time,duration
"Bitbang SPI","disable",4.749044417,0.000000083
"Bitbang SPI","enable",4.749047333,0.000000083
"Bitbang SPI","disable",4.7490505,0.000000083
"Bitbang SPI","enable",4.749053333,0.000000083
"Bitbang SPI","disable",4.749057,0.000000083
"Bitbang SPI","enable",4.749059833,0.000000083
"Bitbang SPI","disable",4.749063,0.000000083
"Bitbang SPI","enable",4.749065917,0.000000083
"Bitbang SPI","disable",4.749069083,0.000000083
"Bitbang SPI","enable",4.749071917,0.000000083
"Bitbang SPI","disable",4.749075083,0.000000083
"Bitbang SPI","enable",4.749078,0.000000083
"Bitbang SPI","disable",4.749081167,0.000000083
"Bitbang SPI","enable",4.749084,0.000000083
"Bitbang SPI","disable",4.749087167,0.000000083
"Bitbang SPI","enable",4.74909,0.000000083
"Bitbang SPI","disable",4.749093167,0.000000083
"Bitbang SPI","enable",4.749096083,0.000000083
"Bitbang SPI","disable",4.74909925,0.000000083
"Bitbang SPI","enable",4.749102083,0.000000083
"Bitbang SPI","disable",4.74910575,0.000000083
"Bitbang SPI","enable",4.749108583,0.000000083
"Bitbang SPI","disable",4.74911175,0.000000083
"Bitbang SPI","enable",4.749114667,0.000000083
"Bitbang SPI","disable",4.749117833,0.000000083
"Bitbang SPI","enable",4.749120667,0.000000083
"Bitbang SPI","disable",4.749123833,0.000000083
"Bitbang SPI","enable",4.74912675,0.000000083
"Bitbang SPI","disable",4.749129917,0.000000083
"Bitbang SPI","enable",4.749132833,0.000000083
"Bitbang SPI","disable",4.749136,0.000000083
"Bitbang SPI","enable",4.749138833,0.000000083
"Bitbang SPI","disable",4.749142,0.000000083
"Bitbang SPI","enable",4.749144917,0.000000083
"Bitbang SPI","disable",4.749148083,0.000000083
"Bitbang SPI","enable",4.749150917,0.000000083
"Bitbang SPI","disable",4.749157583,0.000000083
"Bitbang SPI","enable",4.749160417,0.000000083
"Bitbang SPI","disable",4.749163583,0.000000083
"Bitbang SPI","enable",4.7491665,0.000000083
"Bitbang SPI","disable",4.749169667,0.000000083
"Bitbang SPI","enable",4.7491725,0.000000083
"Bitbang SPI","disable",4.74917575,0.000000083
"Bitbang SPI","enable",4.749178583,0.000000083
"Bitbang SPI","disable",4.74918175,0.000000083
"Bitbang SPI","enable",4.749184667,0.000000083
"Bitbang SPI","disable",4.749187833,0.000000083
"Bitbang SPI","enable",4.749190667,0.000000083
"Bitbang SPI","disable",4.749193833,0.000000083
"Bitbang SPI","enable",4.74919675,0.000000083
"Bitbang SPI","disable",4.749199917,0.000000083
"Bitbang SPI","enable",4.74920275,0.000000083
"Bitbang SPI","disable",4.749206417,0.000000083
"Bitbang SPI","enable",4.74920925,0.000000083
"Bitbang SPI","disable",4.7492125,0.000000083
"Bitbang SPI","enable",4.749215333,0.000000083
"Bitbang SPI","disable",4.7492185,0.000000083
"Bitbang SPI","enable",4.749221417,0.000000083
"Bitbang SPI","disable",4.749224583,0.000000083
"Bitbang SPI","enable",4.749227417,0.000000083
"Bitbang SPI","disable",4.749230583,0.000000083
"Bitbang SPI","enable",4.749233417,0.000000083
"Bitbang SPI","disable",4.749236583,0.000000083
"Bitbang SPI","enable",4.7492395,0.000000083
"Bitbang SPI","disable",4.749242667,0.000000083
"Bitbang SPI","enable",4.7492455,0.000000083
"Bitbang SPI","disable",4.749248667,0.000000083
"Bitbang SPI","enable",4.7492515,0.000000083
"Bitbang SPI","disable",4.749255167,0.000000083
"Bitbang SPI","enable",4.749258,0.000000083
"Bitbang SPI","disable",4.749261167,0.000000083
"Bitbang SPI","enable",4.749264083,0.000000083
"Bitbang SPI","disable",4.74926725,0.000000083
"Bitbang SPI","enable",4.749270083,0.000000083
"Bitbang SPI","disable",4.74927325,0.000000083
"Bitbang SPI","enable",4.749276167,0.000000083
"Bitbang SPI","disable",4.749279333,0.000000083
"Bitbang SPI","enable",4.749282167,0.000000083
"Bitbang SPI","disable",4.749285333,0.000000083
"Bitbang SPI","enable",4.749288167,0.000000083
"Bitbang SPI","disable",4.749291333,0.000000083
"Bitbang SPI","enable",4.749294167,0.000000083
"Bitbang SPI","disable",4.749297333,0.000000083
"Bitbang SPI","enable",4.74930025,0.000000083
"Bitbang SPI","disable",4.749306917,0.000000083
"Bitbang SPI","enable",4.749309833,0.000000083
"Bitbang SPI","disable",4.749313,0.000000083
"Bitbang SPI","enable",4.749315833,0.000000083
"Bitbang SPI","disable",4.749319083,0.000000083
"Bitbang SPI","enable",4.749321917,0.000000083
"Bitbang SPI","disable",4.749325083,0.000000083
"Bitbang SPI","enable",4.749328,0.000000083
"Bitbang SPI","disable",4.749331167,0.000000083
"Bitbang SPI","enable",4.749334,0.000000083
"Bitbang SPI","disable",4.74933725,0.000000083
"Bitbang SPI","enable",4.749340083,0.000000083
"Bitbang SPI","disable",4.74934325,0.000000083
"Bitbang SPI","enable",4.749346083,0.000000083
"Bitbang SPI","disable",4.74934925,0.000000083
"Bitbang SPI","enable",4.749352083,0.000000083
"Bitbang SPI","disable",4.74935575,0.000000083
"Bitbang SPI","enable",4.749358667,0.000000083
"Bitbang SPI","disable",4.749361833,0.000000083
"Bitbang SPI","enable",4.749364667,0.000000083
"Bitbang SPI","disable",4.749367833,0.000000083
"Bitbang SPI","enable",4.74937075,0.000000083
"Bitbang SPI","disable",4.749373917,0.000000083
"Bitbang SPI","enable",4.749376833,0.000000083
"Bitbang SPI","disable",4.74938,0.000000083
"Bitbang SPI","enable",4.749382833,0.000000083
"Bitbang SPI","disable",4.749386,0.000000083
"Bitbang SPI","enable",4.749388833,0.000000083
"Bitbang SPI","disable",4.749392,0.000000083
"Bitbang SPI","enable",4.749394833,0.000000083
"Bitbang SPI","disable",4.749398083,0.000000083
"Bitbang SPI","enable",4.749400917,0.000000083
"Bitbang SPI","disable",4.749404583,0.000000083
"Bitbang SPI","enable",4.749407417,0.000000083
"Bitbang SPI","disable",4.749410583,0.000000083
"Bitbang SPI","enable",4.7494135,0.000000083
"Bitbang SPI","disable",4.749416667,0.000000083
"Bitbang SPI","enable",4.7494195,0.000000083
"Bitbang SPI","disable",4.74942275,0.000000083
"Bitbang SPI","enable",4.749425583,0.000000083
"Bitbang SPI","disable",4.74942875,0.000000083
"Bitbang SPI","enable",4.749431667,0.000000083
"Bitbang SPI","disable",4.749434833,0.000000083
"Bitbang SPI","enable",4.749437667,0.000000083
"Bitbang SPI","disable",4.749440833,0.000000083
